Mixture,Macs_IFN_B1a_Macs_IFN_y,Macs_IL_10,Macs_IL_4_Macs_IL_13,DCs_IFN_B1a,DCs_IFN_B1a_DCs_IFN_y,DCs_IL_10,Monos_IFN_B1a_Monos_IFN_y,Monos_IL_10,Monos_IL_4_Monos_IL_13,PMNs_IFN_B1a,PMNs_IFN_B1a_PMNs_IFN_y,PMNs_IL_4_PMNs_IL_13,P-value,Correlation,RMSE
001_0,0,0.00754944296504929,0,0,0.118157327682475,0.173210849239488,0,0,0.0901341226436912,0.465229204805897,0.110848481249683,0.034870571413716,0,0.828865323800358,0.600895458115653
008_0,0,0.0313904230793517,0,0,0.157315376592525,0.145414898191406,0,0,0.0244114601845753,0.456201618488581,0.18526622346356,0,0,0.886395701810449,0.504620783673195
011_0,0.00980127678162908,0,0,0,0.36670806358375,0.216025197812412,0.00654842783206041,0,0.0168365562366681,0,0.38408047775348,0,0,0.837891227330008,0.576218260627162
014_0,0,0.0826202942972388,0,0,0.0525045313968886,0.18320053659285,0,0,0.113341343092417,0.138450056513361,0.313064448863054,0.116818789244191,0,0.823245048392742,0.608122319115917
016_0,0,0.017106547573875,0,0,0.107451477284503,0.230312987248418,0,0,0.0507251298121571,0.250579058979884,0.290190490256742,0.0536343088444209,0,0.889610802830289,0.522016354988593
029_0,0.0602895843192688,0,0.06824332076644,0,0,0.246289970851099,0,0,0.028201363766203,0.334129917040703,0.262845843256286,0,0,0.83603778320437,0.571611033742044
030_0,0.00457020974064266,0.00322483719202458,0,0,0.217364500050574,0.195056713487352,0,0,0.0648579822181175,0.195030841626382,0.316342029728551,0.00355288595635583,0,0.876582162176545,0.532685446080166
034_0,0.0327345282580614,0,0.0132282205661676,0,0.180420259373513,0.255183933858729,0,0,0.0239512590183767,0.23741508389181,0.257066715033343,0,0,0.84957265385343,0.567051936278082
038_0,0,0.0212611717283253,0,0,0.304615367902297,0.2535029052083,0.0170703428960733,0,0.0225154996044119,0.316448133190902,0.0243607605700049,0.0402258188996856,0,0.779298656220651,0.66921987894097
046_0,0,0.0510107372988201,0,0,0.0751005622772854,0.319287395534776,0.0427916229977174,0,0.0168618313728883,0.144269916292338,0.270876219061759,0.0798017151644157,0,0.826868019204006,0.607486667113917
050_0,0.0243756495562036,0,0.0662456453469422,0,0.172066468815242,0.207381562455792,0,0,0,0.207733438397519,0.322197235428301,0,0,0.830614181444889,0.578107152360192
051_0,0.00105096316453554,0.00369785922407001,0,0,0.25748313830507,0.193699916751178,0,0,0.0544568366479251,0.0901889448109396,0.387932338307656,0.0114900027886264,0,0.86407602834709,0.543463370715808
054_0,0.0291828643847516,0,0.0288953947189401,0,0.19142333330476,0.18374364411627,0,0,0.0678790329046501,0.194247803864761,0.304627926705867,0,0,0.834697427874672,0.581264266365587
055_0,0,0.0553636578431478,0,0,0.0456234139183221,0.250627930322636,0,0,0.209639493239756,0.0717045208160925,0.317237418740786,0.0498035651192599,0,0.836565140047365,0.616546946238339
062_0,0,0.0584190622208145,0.0134985326304381,0,0.0650597977336622,0.181255800880344,0,0,0.0678917376953403,0.1065188481124,0.370709155605196,0.136647065121805,0,0.867706411660275,0.551757084776311
064_0,0,0.0350244551173474,0,0,0.200800812558631,0.165479379965697,0,0,0.143196486303279,0.00282709909582356,0.391090606186066,0.0615811607731567,0,0.836657110256187,0.594898417702561
065_0,0.0371909487127645,0,0,0,0.191413475102551,0.171496776274023,0,0,0.0166934082816287,0,0.583205391629033,0,0,0.922034388817587,0.41567300846067
066_0,0,0.0702158209396177,0,0,0,0.236997566012737,0,0,0.165274075004437,0.177996320949806,0.250847129310163,0.0986690877832385,0,0.810681360663951,0.637539595570259
069_0,0,0.0276831051964194,0,0,0.0534167255087025,0.220796761191625,0,0,0.200120798558229,0.179542481970011,0.280064098556315,0.0383760290186985,0,0.875964622875577,0.573664294304948
070_0,0,0.0315383084277291,0,0,0.355730159448787,0.111042757164504,0,0,0.11036651884525,0.184813321073179,0.206508935040552,0,0,0.796066891304898,0.636247973543442
077_0,0.00562740131168855,0,0,0,0.318955081098628,0.146218621571777,0,0,0.0602406517441924,0.0635507174867476,0.405407526786967,0,0,0.847363369250282,0.558479600694973
083_0,0,0.113460095962057,0.0205058376680938,0,0,0.233322268444996,0.033736544913003,0,0.0694150843609738,0.18760616644171,0.243700566653308,0.0982534355558583,0,0.764317045160978,0.662548795411901
085_0,0.054665333055292,0,0,0,0.132220277906385,0.203905221740064,0,0,0.0357390818884413,0.0882832082545538,0.485186877155264,0,0,0.881401015083128,0.494196038261216
086_0,0,0.0394220789859253,0,0,0.0913124932859532,0.289784767418502,0.0199397230159348,0,0.0351936355464195,0.0587035992361498,0.357334767811548,0.108308934699568,0,0.851893715691811,0.578282637177581
099_0,0.0591765622066093,0,0,0,0.116710161055083,0.255015718509706,0,0,0.049163529201924,0.236299405933405,0.283634623093273,0,0,0.838537088441117,0.573790444906475
118_0,0,0.0473764322958181,0.0166826038205489,0,0,0.255453803157131,0,0,0.0374497845877583,0.127626817352591,0.440015287702843,0.0753952710833094,0,0.869044908519337,0.529202603436911
