Mixture,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell,P-value,Correlation,RMSE
001_0,0.0866024814633146,0,0.417747804690084,0.121016410327338,0,0.0777648467756244,0,0.00404030836778136,0,0,0,0,0.00197476230681603,0.0238903573636664,0,0,0.0771514977100928,0.139339454816247,0.025948808099118,0.0245232680799173,0,0.768724329794682,0.726410052507473
008_0,0.156745237538722,0,0.312113526038741,0.0909557599492463,0,0.0780796124512893,0,0.0067310154327211,0,0,0.00163438292648045,0,0,0.0319569975858458,0,0,0.133234464464983,0.184951110535134,0.00105807529030416,0.00253981778653221,0,0.79520880415438,0.69283257259735
011_0,0.0966964980073822,0.0464244573018581,0.305991782693272,0.165158543418234,0,0.0706556324025173,0,0.0136128664825183,0.0282886278278083,0,0,0,0,0.0266485772462765,0.0197778739860597,0,0.00582770370950327,0.22091743692457,0,0,0,0.846028060338574,0.661990286366537
014_0,0.135779032681832,0,0.393532465542475,0.0840877362651304,0.0188192602635306,0.0452406535984005,0,0.00528077258561764,0,0,0,0.0023251706107867,0,0.0266340697076629,0.00446053301420294,0,0.0656323636189375,0.21456155684484,0,0.00364638526658406,0,0.837283481215744,0.67071435286967
016_0,0.126888785855016,0,0.353721560534201,0.0908035015032819,0,0.0196952924564553,0,0.000172480003456583,0,0,0,0,0,0.0268208283306158,0,0,0.188247611930664,0.19364993938631,0,0,0,0.863819966826929,0.650741560291826
029_0,0.0241219500904576,0.02536782179376,0.292194741302147,0.0621464250757994,0,0.0168289125496163,0,0.00365479998127438,0,0,0,0,0.00637203082709412,0.047961616247459,0,0,0.164578124531949,0.321491086148669,0.00218133593070382,0.0331011555210707,0,0.719316554711868,0.747818455379967
030_0,0.074967672772751,0.0184686241943313,0.37562295021471,0.104200387462238,0,0.0613072279084379,0,0.000178389276548143,0,0,0,0,0,0.02455080997843,0,0,0.119482276048988,0.219209425880678,0.00201223626288729,0,0,0.809315796557565,0.693790362687579
034_0,0.0742900614434321,0,0.377081390061652,0.0592646814943756,0,0.0332230562482411,0,0.0104602911256863,0,0,0.00203885941786415,0,0,0.0537028514527017,0,0,0.133866891960959,0.235721558237483,0,0.0203503585576045,0,0.844910760664117,0.673142722316499
038_0,0.133179170327725,0,0.453145571131011,0.111126888168635,0,0.0550842401933063,0,0.00275877193116888,0,0,0,0,0,0.0254149134994004,0,0,0.0842958755742718,0.121669528424543,0,0.013325040749939,0,0.721632921927213,0.746845996008108
046_0,0.106809303080926,0,0.334100554192436,0.131839947788294,0,0.0983259853988592,0,0,0.00440533950553413,0,0,0,0,0.0214634785340374,0,0,0.143950255139164,0.158911218684272,0,0.000193917676478799,0,0.848130878536607,0.668625076254516
050_0,0.0517102977811742,0.0104119184598738,0.320739984575643,0.0731259837185371,0,0.0176473377442956,0,0.00160600895957185,0.00950240938656345,0,0,0,0,0.0628397108786797,0,0,0.116356892250735,0.313191376664563,0,0.0228680795803627,0,0.730084351653104,0.743544168871811
051_0,0.126151656765592,0,0.27657349328541,0.0531822198314375,0,0.0603513853129619,0,0,0.0109753143281033,0,0.00291777468729434,0,0,0.0311720212270037,0,0,0.137506161821553,0.29409669358397,0,0.00707327915667372,0,0.85100602323881,0.656131726521491
054_0,0.118063498621082,0.0195308868605425,0.395495484915473,0.0741139912980588,0,0.0415622473292142,0,0.00619430745982003,0,0,0,0,0,0.0391800760181193,0,0,0.144762226564345,0.136765855878436,0,0.0243314250549087,0,0.801689292974068,0.690882115565906
055_0,0.159792647169497,0,0.374174031318714,0.0252104844152674,0.0314126158770573,0.0372652623631979,0,0,0.00108071329379692,0,0,0,0,0.0430420019685327,0,0,0.077597159974856,0.250425083619081,0,0,0,0.883784349542519,0.620199604802256
062_0,0.106757225343403,0,0.354345969712213,0.0769751467836888,0,0.0266339213658044,0,0.00523908875542874,0.00203551686304667,0,0,0.00237213616946698,0,0.0161063371191211,0.00263849339714169,0,0.0670795987220809,0.339816565768604,0,0,0,0.848523023538194,0.664048088840714
064_0,0.092147644829314,0.017851877803464,0.274024742384881,0.11450032259739,0,0.155182872504164,0,0.00173259366685744,0,0,0,0.00170663782450016,0,0.0120652235426765,0,0,0.158550704686418,0.172237380160335,0,0,0,0.875022870584163,0.638164432269505
065_0,0.12560186419778,0,0.287027389043991,0.16676781561795,0,0.0118521812956919,0.0012797216910262,0.00199885513434347,0,0,0,0,0,0.0264238371777418,0,0,0.0509217366671156,0.324278175791945,0,0.00384842338241482,0,0.807195996120322,0.69545198030464
066_0,0.127928526037432,0,0.312507579379218,0.112767234852546,0,0.0197627262190304,0,0.0160315844897544,0.011058476397696,0,0,0,0,0.036782352610115,0,0,0.140405420142303,0.222756099871905,0,0,0,0.856599388296394,0.660167675942728
069_0,0.130006926205401,0,0.378951762108778,0.0669863877074408,0,0.0923115565616678,0,0.00782863061999691,0,0,0,0,0,0.0362857016465147,0.0252818358411546,0,0.07504352304163,0.187303676267416,0,0,0,0.883828391938124,0.634520373230269
070_0,0.163305315573366,0,0.401257356528397,0.133996596876635,0,0.0470865955903935,0,0.0023658407157655,0,0,0,0,0,0.0454944565741628,0,0,0.0969119871260389,0.0996982802629424,0,0.00988357075229897,0,0.869651407225101,0.647643422459
